nzffdRecordNumber,eventDate,eventTime,institution,waterBody,waterBodyType,site,catchmentNumber,catchmentName,eastingNZTM,northingNZTM,minimumElevation,distanceOcean,samplingMethod,samplingProtocol,taxonName,taxonCommonName,totalCount,notCountedButPresent,notDetectedButSoughtAtSite,minLength,maxLength,dataVersion
269,9/12/1980,16:15,NIWA,Mangakara Stream,Not Entered,,92.155,Waihou R,1846402,5857562,80,66.1,Electric fishing - Type unknown,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
285,29/08/1989,day,NIWA,Verter Burn,Not Entered,,743.053,Taieri R,1369603,4918196,400,50.8,Electric fishing - Type unknown,Unknown,Paranephrops,Koura,,TRUE,FALSE,,,V1
289,14/09/1989,9:30,NIWA,Fish Gully,Not Entered,,529.01,Takaka R,1580222,5477880,20,5.8,Electric fishing - Backpack,Unknown,Paranephrops,Koura,3,FALSE,FALSE,,,V1
290,14/09/1989,10:10,NIWA,Fish Gully,Not Entered,,529.01,Takaka R,1580122,5477580,22,6.1,Electric fishing - Backpack,Unknown,Paranephrops,Koura,2,FALSE,FALSE,,,V1
291,14/09/1989,11:20,NIWA,Fish Gully,Not Entered,,529.01,Takaka R,1580322,5477780,21,5.7,Electric fishing - Backpack,Unknown,Paranephrops,Koura,2,FALSE,FALSE,,,V1
292,14/09/1989,11:50,NIWA,Fish Gully,Not Entered,,529.01,Takaka R,1580522,5477980,18,5.5,Electric fishing - Backpack,Unknown,Paranephrops,Koura,10,FALSE,FALSE,,,V1
294,2/05/2000,,Auckland Regional Council,Unnamed stream Long Bay,Not Entered,,75,Long B,1754128,5938094,30,2.9,Traps - Gee minnow,Unknown,Paranephrops,Koura,1,FALSE,FALSE,40,,V1
295,2/05/2000,,Auckland Regional Council,Unnamed stream Long Bay,Not Entered,,75,Long B,1754128,5938094,30,2.9,Fyke net - Fyke net including minifykes,Unknown,Paranephrops,Koura,2,FALSE,FALSE,70,75,V1
296,2/05/2000,,Auckland Regional Council,Unnamed stream Long Bay,Not Entered,,75,Long B,1754128,5938094,30,2.9,Traps - Gee minnow,Unknown,Paranephrops,Koura,3,FALSE,FALSE,25,80,V1
297,2/05/2000,,Auckland Regional Council,Unnamed stream Long Bay,Not Entered,,75,Long B,1754128,5938094,30,2.9,Fyke net - Fyke net including minifykes,Unknown,Paranephrops,Koura,4,FALSE,FALSE,75,95,V1
